Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12, C2",CP_EIA-3216-18_Kemet-A,3,10uF,
"C10, C11",1206,2,100nF,
"C13, C14, C15, C16",1206,4,10nF,
"C3, C4, C9",1206,3,1uF,
"C5, C6",CP_Elec_6.3x7.7,2,100uF,
"C7, C8",1206,2,22pF,
D2,1206,1,LED,
J1,IDC-Header_2x07_P2.54mm_Vertical,1,Conn_02x07_Odd_Even,
J10,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,UART,
J2,IDC-Header_2x05_P2.54mm_Vertical,1,SWD,
J3,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,I2C,
J4,USB_Micro-B_Amphenol_10118194_Horizontal,1,USB_B_Micro,
J5,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,ADC_CH4,
J6,IDC-Header_2x05_P2.54mm_Vertical,1,GPIO,
"J7, J8, J9",JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,3,ENCODER,
JP1,SolderJumper-3_P2.0mm_Open_TrianglePad1.0x1.5mm_NumberLabels,1,~,
L1,L_7.3x7.3_H4.5,1,100uH,
"R1, R3",0805,2,3k3,
"R10, R13, R8",0805,3,91k,
"R11, R7, R9",0805,3,47k,
R2,0805,1,470R,
"R4, R5",0805,2,22R,
R6,0805,1,1k5,
RV1,Potentiometer_Bourns_3296W_Vertical,1,10k,
U1,TSSOP-14_4.4x5mm_P0.65mm,1,LM324,
U2,SOT-223-3_TabPin2,1,AMS1117-5.0,
U3,SOT-223-3_TabPin2,1,AMS1117-3.3,
U4,LQFP-48_7x7mm_P0.5mm,1,STM32F103C8Tx,
U5,nRF24L01_Breakout,1,NRF24L01,
Y1,Crystal_HC49-4H_Vertical,1,16MHz,
