Designator,Mid X,Mid Y,Rotation,Layer
C1,178.181,-89.803,90.0,top
C10,170.18,-117.235,270.0,top
C11,155.067,-111.266,180.0,top
C12,153.924,-117.235,90.0,top
C13,150.622,-83.834,270.0,top
C14,155.448,-83.834,270.0,top
C15,150.622,-72.658,90.0,top
C16,155.448,-72.658,90.0,top
C2,178.214,-97.804,90.0,top
C3,175.641,-89.803,90.0,top
C4,175.674,-97.804,90.0,top
C5,194.437,-80.532,0.0,top
C6,194.437,-96.534,0.0,top
C7,165.58,-90.438,90.0,top
C8,160.754,-90.438,90.0,top
C9,170.66,-101.5905,0.0,top
D2,171.704,-89.803,270.0,top
J1,183.388,-74.9535,270.0,top
J10,124.794,-120.41,0.0,top
J2,193.421,-108.218,270.0,top
J3,130.342,-84.088,0.0,top
J4,164.056,-121.81,0.0,top
J5,130.349,-72.912,0.0,top
J6,143.51,-97.169,270.0,top
J7,113.892,-84.071,0.0,top
J8,113.845,-97.152,0.0,top
J9,113.845,-110.741,0.0,top
L1,194.437,-88.533,0.0,top
R1,129.3895,-89.549,0.0,top
R10,153.035,-72.023,90.0,top
R11,157.861,-80.151,270.0,top
R13,153.162,-84.469,270.0,top
R2,171.704,-97.804,270.0,top
R3,129.3895,-91.708,0.0,top
R4,164.691,-117.2585,270.0,top
R5,162.659,-117.2585,270.0,top
R6,166.723,-117.235,270.0,top
R7,147.701,-80.659,270.0,top
R8,147.701,-84.469,270.0,top
R9,157.861,-76.468,90.0,top
RV1,144.0,-75.0,270.0,top
U1,152.781,-78.246,0.0,top
U2,183.896,-90.946,0.0,top
U3,183.929,-98.947,0.0,top
U4,162.659,-105.9085,270.0,top
U5,150.241,-116.6,270.0,top
Y1,165.617,-95.899,180.0,top
